t,theta1,theta2,x1,y1,x2,y2
77.34,-0.14706416989106352,-386.40711306291786,-0.29306925746327,-1.9784110822399696,-0.3018524731560424,-0.9784496554228678
77.35000000000001,-0.20755006470055307,-386.63471091126223,-0.4121263283484648,-1.9570773846432372,-0.19505376552633552,-0.980921914203291
77.36,-0.26963645267142067,-386.8643266044297,-0.5327620854706229,-1.9277356043516425,-0.0992105969655257,-1.0266068084434135
77.37,-0.33149781485967134,-387.0937918464902,-0.6509193213161272,-1.8911118520958385,-0.023764125405506098,-1.1122175330497241
77.38,-0.39129438318624776,-387.3209793581688,-0.7627705660713345,-1.8488323513870089,0.023705833462029147,-1.2312120206197672
77.39,-0.44739907091998793,-387.5442642381267,-0.8652441329293523,-1.80315073979724,0.038470477852115326,-1.3750153613710925
77.4,-0.4985387348813987,-387.7627659981071,-0.9562852928332624,-1.756564385017185,0.018747708287247256,-1.5345043779786995
77.41,-0.5438190603681311,-387.9763412773733,-1.0348157510672054,-1.7114778296382385,-0.03486932675384402,-1.7011265735345944
77.42,-0.582669084011532,-388.1854443828991,-1.100509142326959,-1.6699939004843045,-0.12019532222263507,-1.8674396249567964
77.43,-0.6147556199977786,-388.39097589515967,-1.1535178039243537,-1.6338288392697493,-0.23413320113575575,-2.027188664563655
77.44,-0.6398989832450513,-388.59417610564356,-1.1942288264098084,-1.6043121610745994,-0.37314172011614466,-2.17511507266344
77.45,-0.6580018696744122,-388.7965719684335,-1.2230742432947221,-1.5824314820519223,-0.5334883577616287,-2.306635394271084
77.46000000000001,-0.6689938044458714,-388.9999666505197,-1.2403939898839267,-1.5688922046653917,-0.7113085839911719,-2.417460783668467
77.47,-0.6727926081162507,-389.206452547966,-1.246344939019119,-1.5641688825000415,-0.9024736587731883,-2.5031856782082036
77.48,-0.669290504458278,-389.41841250913933,-1.240859425617188,-1.5685241107031098,-1.102230799172816,-2.5588685477199222
77.49,-0.6583894678455171,-389.6384267747864,-1.2236874989550537,-1.581957301857773,-1.3045368881684813,-2.5786836315309767
77.5,-0.640147433131841,-389.868889331251,-1.194627380722214,-1.6040154055459637,-1.5010192571265648,-2.5559208725296454
77.51,-0.6151537077888174,-390.11094986432846,-1.15416811981951,-1.6333695084677862,-1.6798026459100908,-2.484080002691015
77.52,-0.5852244703275024,-390.3624559097066,-1.1047730240836051,-1.66717622501557,-1.8255807001497462,-2.360311344688588
77.53,-0.5539995315548674,-390.6161437598363,-1.0521854761092526,-1.700854409955404,-1.9238824968371497,-2.190899616088581
77.54,-0.5260734126018202,-390.8622611719281,-1.0042831307331475,-1.7295708697028949,-1.9691068780045848,-1.9924684480506263
77.55,-0.504671880748053,-391.09534769925614,-0.9670405053826882,-1.75066634769427,-1.9664981092814755,-1.7835980650636147
77.56,-0.49085329846930803,-391.316049794162,-0.9427572200436384,-1.763861906175081,-1.9251812096227177,-1.577198828145372
77.57000000000001,-0.4845383118112604,-391.5277594419319,-0.9315997316015121,-1.7697801954141057,-1.8528654049988802,-1.3808463205462893
77.58,-0.48538640094100255,-391.7341542692425,-0.9331003277384079,-1.768989479441434,-1.7551079191057062,-1.1995129481124136
77.59,-0.4931097286346053,-391.9384765590747,-0.9467348478664026,-1.7617301518210384,-1.636094793820211,-1.0373111674517976
77.60000000000001,-0.5075256574951708,-392.1434836305144,-0.9720325717099765,-1.7478995049873118,-1.4994840760777293,-0.898314364733438
